"Data Source","World Development Indicators",

"Last Updated Date","2024-10-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Brunei Darussalam","BRN","Population ages 0-14, female","SP.POP.0014.FE.IN","19370","20511","21599","22667","23693","24663","25569","26416","27220","27995","28760","29530","30283","30953","31511","31983","32401","32828","33324","33922","34616","35411","36343","37342","38344","39374","40459","41630","42872","44147","45430","46806","48326","49790","51041","52070","52829","53263","53405","53371","53231","52993","52690","52355","51982","51586","51196","50811","50425","50058","49732","49520","49465","49484","49452","49327","49170","48963","48697","48432","48179","47928","47675","47393",
"Bhutan","BTN","Population ages 0-14, female","SP.POP.0014.FE.IN","44353","45288","46301","47507","48887","50458","52235","54100","56048","58084","60208","62413","64702","67079","69535","72073","74695","77400","80178","83010","85884","88791","91725","94681","97649","100616","103589","106559","109496","112391","115082","116697","111773","106028","105387","105762","106681","107251","107739","108586","109539","110102","110199","109752","108739","107397","106048","104754","103496","102330","101292","100433","99795","99302","98708","97741","96409","94765","92752","90448","88106","85944","84016","82281",
"Botswana","BWA","Population ages 0-14, female","SP.POP.0014.FE.IN","116188","120438","124842","129423","133758","137023","139537","141985","144353","146639","149037","152262","156988","163008","169739","176979","184785","193117","201854","210894","220107","229237","238133","246881","255667","264644","273810","282875","291370","299024","305776","311650","316537","320694","324429","327405","329396","330686","331805","333015","334332","335747","336769","337526","338760","340785","343674","347161","350985","355122","359846","365279","371275","377507","383654","389610","395405","401176","406901","412338","416984","420556","423287","425422",
"Central African Republic","CAF","Population ages 0-14, female","SP.POP.0014.FE.IN","334022","342105","350596","359624","368530","377191","386385","396295","406953","418208","429684","441254","452869","464455","476081","487723","496339","501985","507793","513892","520314","527069","534142","541451","549164","557574","566704","576723","589362","607778","630583","654242","678244","702184","725582","746783","767277","788613","809740","831146","852792","870842","888451","908823","928922","949682","970656","992030","1014624","1038308","1062629","1086395","1108799","1129820","1147307","1163735","1182858","1203743","1225898","1249674","1275785","1302342","1330073","1360397",
"Canada","CAN","Population ages 0-14, female","SP.POP.0014.FE.IN","2953902","3026420","3086134","3136103","3175101","3199768","3213550","3213536","3200670","3175919","3140012","3144943","3095584","3045595","2999281","2955583","2909003","2859565","2805184","2753210","2719073","2699249","2693529","2690647","2688084","2682014","2679758","2695688","2718373","2758115","2794777","2829110","2862526","2887980","2904779","2912901","2916420","2914217","2903463","2887857","2871655","2857884","2844706","2826539","2805825","2780766","2758358","2742563","2737750","2738496","2740888","2745570","2762265","2785393","2812218","2836546","2869257","2894305","2918574","2941097","2950353","2940332","2962955","3016092",
"Central Europe and the Baltics","CEB","Population ages 0-14, female","SP.POP.0014.FE.IN","13033002","13090509","13042252","12951212","12844464","12689778","12498398","12328390","12169286","12012043","11835000","11682427","11607419","11590122","11655959","11796209","11982043","12162410","12301313","12429544","12565085","12702673","12783035","12797797","12813881","12837675","12857611","12856013","12817264","12701113","12508656","12267329","12000022","11743786","11480691","11193206","10900174","10615300","10326671","10030179","9686242","9331136","8991262","8698747","8434417","8207566","8024871","7877211","7776726","7725136","7683682","7653808","7624555","7601393","7581325","7567981","7568647","7591152","7620794","7642251","7643229","7591830","7439171","7381040",
"Switzerland","CHE","Population ages 0-14, female","SP.POP.0014.FE.IN","626106","639216","659866","674505","684800","692544","700130","707261","712406","715648","719833","722087","719290","714262","707065","693985","675102","656697","639749","623088","608594","596134","584711","573980","564121","556535","551425","548977","549934","553440","561023","570906","581077","591643","599369","604655","607697","607850","606973","606987","606651","601607","596219","593141","588833","583733","578104","573827","572861","573730","576614","580580","582763","586918","592789","598776","606114","613980","621038","627267","632539","637656","642246","646044",
"Channel Islands","CHI","Population ages 0-14, female","SP.POP.0014.FE.IN","11306","11465","11589","11707","11815","11932","12084","12258","12434","12613","12789","12968","13088","13077","12952","12718","12481","12296","12074","11805","11521","11293","11150","11051","10960","10852","10807","10856","10922","11019","11160","11366","11603","11785","11917","11979","12056","12182","12264","12275","12241","12273","12350","12389","12384","12324","12249","12214","12200","12176","12176","12189","12209","12247","12272","12305","12315","12372","12575","12828","13011","13089","13084","13051",
"Chile","CHL","Population ages 0-14, female","SP.POP.0014.FE.IN","1597877","1633138","1666277","1696621","1725110","1751477","1774923","1796571","1817094","1835872","1851623","1863748","1873029","1880545","1885781","1888859","1890325","1890541","1890395","1889459","1887958","1887139","1887060","1887513","1889626","1894304","1901869","1912145","1924682","1939521","1956227","1974003","1990469","2004300","2016384","2025786","2031699","2033969","2031992","2025128","2013406","1998022","1979782","1957648","1930963","1901411","1871316","1844245","1821843","1802899","1787215","1774185","1763320","1755165","1750432","1748208","1747210","1747735","1751029","1757422","1762323","1764768","1761481","1750017",
"China","CHN","Population ages 0-14, female","SP.POP.0014.FE.IN","130709716","128342980","129639084","135132101","140376596","144606284","148899625","152001347","155190553","159127607","162907320","166860816","169926733","172776485","176413737","179844312","182691638","182949048","179481471","175482285","172263032","169494315","168010533","165831141","162454488","159513850","157463732","156723311","156436587","156538834","157782760","158937827","159327311","159530525","159182896","158152699","156491984","153964891","151377751","148908258","145903270","142103916","137320089","132439875","127722010","122743885","118864140","116690232","115288015","114428926","113906017","113732375","114279943","115173294","116141208","116845919","117541987","118736881","119331077","119054755","117942378","115862209","113245683","110294965",
