"Data Source","World Development Indicators",

"Last Updated Date","2024-10-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Central Europe and the Baltics","CEB","Population ages 15-64, male","SP.POP.1564.MA.IN","27996059","28269090","28620294","29033459","29468786","29871802","30293302","30775891","31224276","31622031","31956859","32253651","32553949","32803865","33004550","33177872","33321591","33444391","33567290","33680683","33834445","34057868","34375879","34761874","35075442","35285362","35458357","35620410","35768157","35869583","35963252","36001412","36013372","36115582","36237971","36312410","36356953","36420967","36507456","36614866","36621081","36574186","36520094","36586865","36652735","36688266","36694685","36622195","36516989","36432931","36266669","36101808","35878955","35632977","35368942","35088147","34782879","34461906","34156806","33878273","33596337","33190021","32922273","33025416",
"Switzerland","CHE","Population ages 15-64, male","SP.POP.1564.MA.IN","1699999","1738030","1785956","1829464","1861817","1880800","1897883","1921885","1948690","1973600","1985886","1991201","2006517","2024012","2037876","2040065","2033306","2034031","2043787","2060549","2084064","2112280","2141165","2164894","2185012","2204385","2222379","2240859","2259611","2279095","2302887","2329136","2349030","2363920","2377385","2388128","2393398","2395008","2399741","2409968","2422353","2443140","2470364","2493755","2515473","2536200","2556066","2583241","2621203","2654363","2680011","2707190","2731596","2758637","2787240","2814023","2840611","2860058","2870292","2880244","2893245","2905023","2914653","2925616",
"Channel Islands","CHI","Population ages 15-64, male","SP.POP.1564.MA.IN","35001","35549","35973","36409","36872","37317","37728","38094","38396","38669","38912","39168","39513","39937","40422","40958","41336","41491","41633","41835","42083","42531","43245","44051","44829","45571","46251","46834","47388","47909","48372","48580","48504","48393","48290","48200","48228","48401","48606","48797","48998","49272","49641","50054","50488","50978","51552","52173","52768","53309","53820","54033","54053","54307","54594","54958","55385","55862","56815","57925","58803","59516","60003","60319",
"Chile","CHL","Population ages 15-64, male","SP.POP.1564.MA.IN","2342532","2386173","2432062","2479397","2528498","2580291","2633641","2687269","2741817","2798102","2857081","2918709","2981280","3045381","3113011","3183474","3254876","3326942","3399504","3472678","3546540","3620061","3693218","3765719","3837312","3909086","3981968","4056392","4130850","4202770","4272550","4342051","4412107","4482523","4553245","4624376","4696228","4769691","4845009","4922211","5001295","5081892","5164752","5250037","5337290","5426650","5517216","5605818","5690959","5773242","5851985","5926626","5996215","6060039","6121727","6181456","6252200","6354421","6475917","6595279","6680210","6735238","6753092","6734115",
"China","CHN","Population ages 15-64, male","SP.POP.1564.MA.IN","191567792","191003265","192647304","195407734","198050392","201971971","207343389","213357702","219648246","225934711","232776206","239678412","246587612","253185811","258122191","262032695","265664031","271218164","280539924","290389475","299130476","307643887","315847275","324739756","334270259","343600971","352691497","361120508","369159807","376347580","382013190","387341545","392697640","397692460","403152848","409068547","415446625","422637978","429376345","435424643","441701667","448485727","456039311","463535179","470903418","478654649","485014432","489399658","493051167","496057397","498545586","500879477","503041474","504560766","505600203","506228492","506537848","506151397","505261326","504568537","503815492","503344237","502687120","502045947",
"Cote d'Ivoire","CIV","Population ages 15-64, male","SP.POP.1564.MA.IN","1050832","1092275","1136090","1180082","1223671","1268129","1314012","1361318","1410437","1463540","1523516","1591591","1666870","1746732","1829170","1914149","2002593","2088631","2165420","2233221","2293802","2349469","2402137","2453261","2503747","2554631","2607111","2679347","2811419","2957392","3078947","3207022","3342975","3485256","3631985","3782359","3934941","4088445","4232505","4350262","4446134","4533450","4631714","4748549","4874498","5007642","5145409","5287480","5432887","5580997","5733853","5863219","5974007","6097907","6258296","6454261","6657039","6865760","7081572","7303943","7532034","7762369","8000142","8250388",
"Cameroon","CMR","Population ages 15-64, male","SP.POP.1564.MA.IN","1416112","1416633","1430939","1457432","1481766","1507295","1535801","1565494","1596651","1629571","1664462","1701338","1740347","1781616","1825173","1871090","1915085","1957105","2005794","2058949","2130290","2213156","2253580","2282933","2344553","2416759","2492337","2570731","2649275","2728857","2812818","2899270","2988137","3081603","3179047","3279743","3385021","3495462","3609047","3723849","3840977","3963116","4092681","4226648","4362159","4499073","4637795","4783581","4936191","5091916","5250373","5410492","5574273","5745234","5946969","6165494","6371055","6566893","6766014","6978931","7197467","7420000","7649921","7889836",
"Congo, Dem. Rep.","COD","Population ages 15-64, male","SP.POP.1564.MA.IN","3859228","3978981","4101413","4224743","4344060","4465511","4596654","4735699","4879314","5023057","5165927","5301196","5432958","5572033","5715823","5862502","6007928","6154003","6369239","6635694","6859674","7055030","7252975","7457738","7694365","7941388","8180737","8437702","8707350","8985614","9292859","9607837","9879714","10189948","10786047","11286014","11355389","11375816","11561864","11855418","12178248","12549913","12943285","13321915","13721263","14163644","14631180","15114791","15601251","16092906","16628451","17219344","17809621","18419302","19059292","19707607","20408228","21124848","21802394","22470100","23187153","23945739","24732173","25572133",
"Congo, Rep.","COG","Population ages 15-64, male","SP.POP.1564.MA.IN","279181","284812","290571","296902","303834","311054","318676","326686","335079","343856","353052","362700","372789","383317","394244","404173","413098","422363","432036","442228","452978","464170","475480","486779","500448","516621","533271","550701","568723","587607","607293","627689","648572","671524","694958","717350","740219","754310","769657","794989","837820","881004","904158","933843","973416","1016494","1062532","1107797","1146601","1197990","1252362","1289953","1319903","1344009","1369778","1397779","1428893","1463386","1500519","1539843","1581579","1625800","1672662","1722709",
"Colombia","COL","Population ages 15-64, male","SP.POP.1564.MA.IN","3886154","3996507","4112817","4233603","4363247","4504080","4650304","4801917","4960399","5124817","5296213","5471459","5652452","5843424","6041020","6243810","6449516","6664743","6891781","7124520","7364621","7607421","7850629","8097627","8343116","8579815","8808341","9032005","9254660","9478698","9705940","9930795","10156831","10392144","10636784","10885953","11135777","11390299","11646724","11902674","12159621","12419686","12684170","12950963","13220250","13489811","13758026","14023830","14282317","14538156","14794072","15042735","15279181","15504474","15716975","15922523","16149786","16464607","16856472","17230258","17526007","17749414","17865331","17903743",
